"id","name","sub_major","cat_large","cat_mid","cat_small","dept_type"
"A110_신학과","신학과","신학과","인문","인문학","종교학","인문"
"A110_G2빅데이터경영학과","G2빅데이터경영학과","G2빅데이터경영학과","사회","경영경제","경영정보학","인문"
"A110_사회복지학과","사회복지학과","사회복지학과","사회","사회과학","사회복지학","인문"
"A110_상담심리학과","상담심리학과","상담심리학과","사회","사회과학","심리학","인문"
"A110_간호학과","간호학과","간호학과","의학","간호","간호학","자연"
"A110_식품영양학과","식품영양학과","식품영양학과","자연","생활과학","식품영양학","자연"
"A110_실용음악학과","실용음악학과","실용음악학과","예체능","음악","실용음악","예체능"
"M101_간호학과","간호학과","간호학과","의학","간호","간호학","자연"
"M101_사회복지상담학과","사회복지상담학과","사회복지상담학과","사회","사회과학","사회복지학","인문"
"M101_특수교육과(초등특수교육전공)","특수교육과(초등특수교육전공)","초등특수교육전공","교육","교육","특수교육학","인문"
"M101_물리치료학과","물리치료학과","물리치료학과","자연","보건","물리치료","자연"
"M101_방사선학과","방사선학과","방사선학과","자연","보건","방사선","자연"
"M101_스포츠재활복지학과","스포츠재활복지학과","스포츠재활복지전공, 스포츠지도전공(축구)","예체능","무용체육","체육","예체능"
"C104_관광경영학과","관광경영학과","관광경영학과","사회","경영경제","관광학","인문"
"C104_경제학과","경제학과","경제학과","사회","경영경제","경제학","인문"
"C104_금융빅데이터학부","금융빅데이터학부","금융수학전공, 빅데이터경영전공","자연","수학물리천문지구","수학","자연"
"C104_응용통계학과","응용통계학과","응용통계학과","사회","경영경제","경영정보학","인문"
"C104_사회복지학과","사회복지학과","사회복지학과","사회","사회과학","사회복지학","인문"
"C104_유아교육학과","유아교육학과","유아교육학과","교육","교육","유아교육학","인문"
"C104_경영학과","경영학과","경영학과","사회","경영경제","경영학","인문"
"C104_미디어커뮤니케이션학과","미디어커뮤니케이션학과","미디어커뮤니케이션학과","사회","사회과학","언론방송매체학","인문"
"C104_의료산업경영학과","의료산업경영학과","의료산업경영학과","사회","경영경제","경영학","인문"
"C104_패션산업학과","패션산업학과","패션산업학과","예체능","미술","디자인","인문"
"C104_도시계획조경학부","도시계획조경학부","도시계획학전공, 조경학전공","사회","사회과학","도시지역지리학","자연"
"C104_생명과학과","생명과학과","생명과학과","자연","화학생명과학환경","생명과학","자연"
"C104_전기공학과","전기공학과","전기공학과","공학","전기전자컴퓨터","전기공학","자연"
"C104_컴퓨터공학과","컴퓨터공학과","컴퓨터공학과","공학","전기전자컴퓨터","전산학컴퓨터공학","자연"
"C104_화공생명배터리공학부","화공생명배터리공학부","화공생명공학전공, 배터리공학전공","공학","화공고분자에너지","화학공학","자연"
"C104_식품영양학과","식품영양학과","식품영양학과","자연","생활과학","식품영양학","자연"
"C104_건설환경공학과","건설환경공학과","건설환경공학과","공학","건설","토목공학","자연"
"C104_한의예과","한의예과","한의예과","의학","의료예과","한의예과","자연"
"C104_건축학부","건축학부","실내건축학전공, 건축학전공(5년), 건축공학전공","공학","건설","건축학","자연"
"C104_화학과","화학과","화학과","자연","화학생명과학환경","화학","자연"
"C104_바이오나노학과","바이오나노학과","바이오나노학과","공학","화공고분자에너지","생명공학","자연"
"C104_식품생명공학과","식품생명공학과","식품생명공학과","공학","화공고분자에너지","생명공학","자연"
"C104_신소재공학과","신소재공학과","신소재공학과","공학","재료","신소재공학","자연"
"C104_연기예술학과(연기)","연기예술학과(연기)","연기예술학과(연기)","예체능","연극영화","연극","예체능"
"C104_연기예술학과(연출)","연기예술학과(연출)","연기예술학과(연출)","예체능","연극영화","연극","예체능"
"B101_간호학과","간호학과","간호학과","의학","간호","간호학","자연"
"B101_의예과","의예과","의예과","의학","의료예과","의예과","자연"
"B101_물리치료학과","물리치료학과","물리치료학과","자연","보건","물리치료","자연"
"B101_방사선학과","방사선학과","방사선학과","자연","보건","방사선","자연"
"B101_운동재활학과","운동재활학과","운동재활학과","자연","보건","재활치료","자연"
"B101_응급구조학과","응급구조학과","응급구조학과","자연","보건","응급구조","자연"
"C104_의공학과","의공학과","의공학과","공학","전기전자컴퓨터","의공학","자연"
"B101_치위생학과","치위생학과","치위생학과","자연","보건","치위생","자연"
"D105_조리외식경영학전공","조리외식경영학전공","조리외식경영학전공","자연","생활과학","식품영양학","인문"
"D105_호텔관광경영학전공","호텔관광경영학전공","호텔관광경영학전공","사회","경영경제","경영학","인문"
"D105_경영학전공","경영학전공","경영학전공","사회","경영경제","경영학","인문"
