"id","name","region","type_ext","foundation","gender_limit"
"A110","강서대","서울","1","3","0"
"M101","가야대(김해)","경남","1","3","0"
"C104","가천대(글로벌)","경기","1","3","0"
"B101","가천대(메디컬)","인천","1","3","0"
"D105","가톨릭관동대","강원","1","3","0"
"A102","가톨릭대(성신)","서울","1","3","0"
"C101","가톨릭대(성심)","경기","1","3","0"
"A101","가톨릭대(성의)","서울","1","3","0"
"A103","감리교신학대","서울","1","3","0"
"C102","강남대","경기","1","3","0"
"D101","강원대(강릉)","강원","1","1","0"
"D112","강원대(원주)","강원","1","1","0"
"D102","강원대","강원","1","1","0"
"D115","강원대(도계)","강원","1","1","0"
"D103","강원대(삼척)","강원","1","1","0"
"A104","건국대","서울","1","3","0"
"G101","건국대(글로컬)","충북","1","3","0"
"F101","건양대","충남","1","3","0"
"E113","건양대(메디컬)","대전","1","3","0"
"C103","경기대","경기","1","3","0"
"A105","경기대(서울)","서울","1","3","0"
"M102","경남대","경남","1","3","1"
"M102","경남대","경남","1","3","2"
"M102","경남대","경남","1","3","0"
"C143","경동대(양주)","경기","1","3","0"
"D114","경동대(원주문막)","강원","1","3","0"
"K101","경북대","대구","1","1","0"
"L115","경북대(상주)","경북","1","1","0"
"M103","경상국립대","경남","1","1","0"
"M215","경상국립대(창원)","경남","1","1","0"
"M113","경상국립대(칠암)","경남","1","1","0"
"M114","경상국립대(통영)","경남","1","1","0"
"N101","경성대","부산","1","3","0"
"L103","경운대","경북","1","3","0"
"B102","경인교대","인천","2","1","0"
"L104","경일대","경북","1","3","0"
"L105","경주대","경북","1","3","0"
"A106","경희대","서울","1","3","0"
"A106","경희대","서울","1","3","1"
"A106","경희대","서울","1","3","2"
"C107","경희대(국제)","경기","1","3","0"
"K108","계명대(대명)","대구","1","3","0"
"K103","계명대(성서)","대구","1","3","0"
"A107","고려대","서울","1","3","0"
"Q101","고려대(세종)","세종","1","3","0"
"N102","고신대","부산","1","3","0"
"N117","고신대(송도)","부산","1","3","0"
"F103","공주교대","충남","2","1","0"
"F104","공주대","충남","1","1","0"
"F106","공주대(예산)","충남","1","1","0"
"F107","공주대(천안)","충남","1","1","0"
"H101","광신대","광주","1","3","0"
"A108","광운대","서울","1","3","0"
"H110","광주과학기술원","광주","4","1","0"
"H102","광주교대","광주","2","1","0"
"H103","광주대","광주","1","3","0"
"H104","광주여대","광주","1","3","2"
"A109","국민대","서울","1","3","0"
"A109","국민대","서울","1","3","1"
"A109","국민대","서울","1","3","2"
"J101","군산대","전북","1","1","0"
"G103","극동대","충북","1","3","0"
"L106","금오공과대","경북","1","1","0"
"L123","김천대","경북","1","3","0"
"G104","가톨릭꽃동네대","충북","1","3","0"
"F109","나사렛대","충남","1","3","0"
"H105","남부대","광주","1","3","0"
"F110","남서울대","충남","1","3","0"
"C137","단국대(죽전)","경기","1","3","0"
"C137","단국대(죽전)","경기","1","3","1"
"C137","단국대(죽전)","경기","1","3","2"
"F111","단국대(천안)","충남","1","3","0"
"L107","대구가톨릭대","경북","1","3","0"
"K106","대구경북과학기술원","대구","4","1","0"
"K104","대구교대","대구","2","1","0"
"L108","대구대","경북","1","3","0"
"L109","대구예술대","경북","1","3","0"
"L111","대구한의대(삼성)","경북","1","3","0"
"L112","대신대","경북","1","3","0"
"Q103","대전가톨릭대","세종","1","3","0"
