source,target,type
A110,서울,LOCATED_IN
A110,PROC_0,OFFERS
PROC_0,A110_신학과,FOR_MAJOR
PROC_0,나군,IN_PERIOD
A110,PROC_1,OFFERS
PROC_1,A110_G2빅데이터경영학과,FOR_MAJOR
PROC_1,다군,IN_PERIOD
A110,PROC_2,OFFERS
PROC_2,A110_사회복지학과,FOR_MAJOR
PROC_2,다군,IN_PERIOD
A110,PROC_3,OFFERS
PROC_3,A110_상담심리학과,FOR_MAJOR
PROC_3,다군,IN_PERIOD
A110,PROC_4,OFFERS
PROC_4,A110_간호학과,FOR_MAJOR
PROC_4,다군,IN_PERIOD
A110,PROC_5,OFFERS
PROC_5,A110_식품영양학과,FOR_MAJOR
PROC_5,다군,IN_PERIOD
A110,PROC_6,OFFERS
PROC_6,A110_실용음악학과,FOR_MAJOR
PROC_6,다군,IN_PERIOD
M101,경남,LOCATED_IN
M101,PROC_7,OFFERS
PROC_7,M101_간호학과,FOR_MAJOR
PROC_7,다군,IN_PERIOD
M101,PROC_8,OFFERS
PROC_8,M101_사회복지상담학과,FOR_MAJOR
PROC_8,다군,IN_PERIOD
M101,PROC_9,OFFERS
PROC_9,M101_특수교육과(초등특수교육전공),FOR_MAJOR
PROC_9,다군,IN_PERIOD
M101,PROC_10,OFFERS
PROC_10,M101_물리치료학과,FOR_MAJOR
PROC_10,다군,IN_PERIOD
M101,PROC_11,OFFERS
PROC_11,M101_방사선학과,FOR_MAJOR
PROC_11,다군,IN_PERIOD
M101,PROC_12,OFFERS
PROC_12,M101_스포츠재활복지학과,FOR_MAJOR
PROC_12,다군,IN_PERIOD
C104,경기,LOCATED_IN
C104,PROC_13,OFFERS
PROC_13,C104_관광경영학과,FOR_MAJOR
PROC_13,가군,IN_PERIOD
C104,PROC_14,OFFERS
PROC_14,C104_경제학과,FOR_MAJOR
PROC_14,가군,IN_PERIOD
C104,PROC_15,OFFERS
PROC_15,C104_금융빅데이터학부,FOR_MAJOR
PROC_15,가군,IN_PERIOD
C104,PROC_16,OFFERS
PROC_16,C104_응용통계학과,FOR_MAJOR
PROC_16,가군,IN_PERIOD
C104,PROC_17,OFFERS
PROC_17,C104_사회복지학과,FOR_MAJOR
PROC_17,나군,IN_PERIOD
C104,PROC_18,OFFERS
PROC_18,C104_유아교육학과,FOR_MAJOR
PROC_18,나군,IN_PERIOD
C104,PROC_19,OFFERS
PROC_19,C104_경영학과,FOR_MAJOR
PROC_19,다군,IN_PERIOD
C104,PROC_20,OFFERS
PROC_20,C104_미디어커뮤니케이션학과,FOR_MAJOR
PROC_20,다군,IN_PERIOD
C104,PROC_21,OFFERS
PROC_21,C104_의료산업경영학과,FOR_MAJOR
PROC_21,다군,IN_PERIOD
C104,PROC_22,OFFERS
PROC_22,C104_패션산업학과,FOR_MAJOR
PROC_22,다군,IN_PERIOD
C104,PROC_23,OFFERS
PROC_23,C104_도시계획조경학부,FOR_MAJOR
PROC_23,가군,IN_PERIOD
C104,PROC_24,OFFERS
PROC_24,C104_생명과학과,FOR_MAJOR
PROC_24,가군,IN_PERIOD
C104,PROC_25,OFFERS
PROC_25,C104_전기공학과,FOR_MAJOR
PROC_25,가군,IN_PERIOD
C104,PROC_26,OFFERS
PROC_26,C104_컴퓨터공학과,FOR_MAJOR
PROC_26,가군,IN_PERIOD
C104,PROC_27,OFFERS
PROC_27,C104_화공생명배터리공학부,FOR_MAJOR
PROC_27,가군,IN_PERIOD
C104,PROC_28,OFFERS
PROC_28,C104_식품영양학과,FOR_MAJOR
PROC_28,다군,IN_PERIOD
C104,PROC_29,OFFERS
PROC_29,C104_건설환경공학과,FOR_MAJOR
PROC_29,나군,IN_PERIOD
C104,PROC_30,OFFERS
PROC_30,C104_한의예과,FOR_MAJOR
PROC_30,가군,IN_PERIOD
C104,PROC_31,OFFERS
PROC_31,C104_건축학부,FOR_MAJOR
PROC_31,다군,IN_PERIOD
