source,target,type,stage,weight
PROC_0,수능,REQUIRES,1,100.0
PROC_1,수능,REQUIRES,1,100.0
PROC_2,수능,REQUIRES,1,100.0
PROC_3,수능,REQUIRES,1,100.0
PROC_4,수능,REQUIRES,1,80.0
PROC_4,면접,REQUIRES,1,20.0
PROC_5,수능,REQUIRES,1,100.0
PROC_6,학생부교과,REQUIRES,1,20.0
PROC_6,실기,REQUIRES,1,80.0
PROC_7,학생부교과,REQUIRES,1,30.0
PROC_7,수능,REQUIRES,1,70.0
PROC_8,학생부교과,REQUIRES,1,30.0
PROC_8,수능,REQUIRES,1,70.0
PROC_9,학생부교과,REQUIRES,1,30.0
PROC_9,수능,REQUIRES,1,70.0
PROC_10,학생부교과,REQUIRES,1,30.0
PROC_10,수능,REQUIRES,1,70.0
PROC_11,학생부교과,REQUIRES,1,30.0
PROC_11,수능,REQUIRES,1,70.0
PROC_12,학생부교과,REQUIRES,1,30.0
PROC_13,수능,REQUIRES,1,100.0
PROC_14,수능,REQUIRES,1,100.0
PROC_15,수능,REQUIRES,1,100.0
PROC_16,수능,REQUIRES,1,100.0
PROC_17,수능,REQUIRES,1,100.0
PROC_18,수능,REQUIRES,1,100.0
PROC_19,수능,REQUIRES,1,100.0
PROC_20,수능,REQUIRES,1,100.0
PROC_21,수능,REQUIRES,1,100.0
PROC_22,수능,REQUIRES,1,100.0
PROC_23,수능,REQUIRES,1,100.0
PROC_24,수능,REQUIRES,1,100.0
PROC_25,수능,REQUIRES,1,100.0
PROC_26,수능,REQUIRES,1,100.0
PROC_27,수능,REQUIRES,1,100.0
PROC_28,수능,REQUIRES,1,100.0
PROC_29,수능,REQUIRES,1,100.0
PROC_30,수능,REQUIRES,1,100.0
PROC_31,수능,REQUIRES,1,100.0
PROC_32,수능,REQUIRES,1,100.0
PROC_33,수능,REQUIRES,1,100.0
PROC_34,수능,REQUIRES,1,100.0
PROC_35,수능,REQUIRES,1,100.0
PROC_36,수능,REQUIRES,1,60.0
PROC_36,실기,REQUIRES,1,40.0
PROC_37,수능,REQUIRES,1,60.0
PROC_37,실기,REQUIRES,1,40.0
PROC_38,수능,REQUIRES,1,100.0
PROC_39,수능,REQUIRES,1,100.0
PROC_40,수능,REQUIRES,1,100.0
PROC_41,수능,REQUIRES,1,100.0
PROC_42,수능,REQUIRES,1,100.0
PROC_43,수능,REQUIRES,1,100.0
PROC_44,수능,REQUIRES,1,100.0
PROC_45,수능,REQUIRES,1,100.0
PROC_46,수능,REQUIRES,1,100.0
PROC_47,수능,REQUIRES,1,100.0
PROC_48,수능,REQUIRES,1,100.0
PROC_49,수능,REQUIRES,1,100.0
PROC_50,수능,REQUIRES,1,100.0
PROC_51,수능,REQUIRES,1,100.0
PROC_52,수능,REQUIRES,1,100.0
PROC_53,수능,REQUIRES,1,100.0
PROC_54,수능,REQUIRES,1,100.0
PROC_55,수능,REQUIRES,1,100.0
PROC_56,수능,REQUIRES,1,100.0
PROC_57,수능,REQUIRES,1,100.0
PROC_58,수능,REQUIRES,1,100.0
PROC_59,수능,REQUIRES,1,100.0
PROC_60,수능,REQUIRES,1,100.0
PROC_61,수능,REQUIRES,1,100.0
PROC_62,수능,REQUIRES,1,100.0
PROC_63,수능,REQUIRES,1,100.0
PROC_64,수능,REQUIRES,1,100.0
PROC_65,수능,REQUIRES,1,100.0
PROC_66,수능,REQUIRES,1,100.0
PROC_67,수능,REQUIRES,1,100.0
PROC_68,수능,REQUIRES,1,100.0
PROC_69,수능,REQUIRES,1,100.0
PROC_70,수능,REQUIRES,1,100.0
PROC_71,수능,REQUIRES,1,60.0
PROC_71,실기,REQUIRES,1,40.0
PROC_72,수능,REQUIRES,1,60.0
PROC_72,실기,REQUIRES,1,40.0
PROC_73,수능,REQUIRES,1,70.0
PROC_73,실기,REQUIRES,1,30.0
PROC_74,수능,REQUIRES,1,100.0
PROC_75,수능,REQUIRES,1,100.0
PROC_76,수능,REQUIRES,1,30.0
PROC_76,실기,REQUIRES,1,70.0
PROC_77,수능,REQUIRES,1,30.0
PROC_77,실기,REQUIRES,1,70.0
PROC_78,수능,REQUIRES,1,100.0
PROC_79,수능,REQUIRES,1,95.0
PROC_79,면접,REQUIRES,1,5.0
PROC_80,수능,REQUIRES,1,80.0
PROC_80,면접,REQUIRES,1,20.0
PROC_81,수능,REQUIRES,1,100.0
PROC_82,수능,REQUIRES,1,100.0
PROC_83,수능,REQUIRES,1,100.0
PROC_84,수능,REQUIRES,1,100.0
PROC_85,수능,REQUIRES,1,100.0
PROC_86,수능,REQUIRES,1,100.0
PROC_87,수능,REQUIRES,1,100.0
PROC_88,수능,REQUIRES,1,100.0
PROC_89,수능,REQUIRES,1,100.0
PROC_90,수능,REQUIRES,1,30.0
PROC_90,실기,REQUIRES,1,70.0
PROC_91,수능,REQUIRES,1,40.0
PROC_91,실기,REQUIRES,1,60.0
PROC_92,수능,REQUIRES,1,10.0
PROC_92,실기,REQUIRES,1,90.0
PROC_93,수능,REQUIRES,1,10.0
PROC_93,실기,REQUIRES,1,90.0
PROC_94,수능,REQUIRES,1,100.0
PROC_95,수능,REQUIRES,1,100.0
PROC_96,수능,REQUIRES,1,100.0
PROC_97,수능,REQUIRES,1,100.0
PROC_98,수능,REQUIRES,1,100.0
PROC_99,수능,REQUIRES,1,100.0
PROC_100,수능,REQUIRES,1,100.0
PROC_101,수능,REQUIRES,1,100.0
PROC_102,수능,REQUIRES,1,100.0
PROC_103,수능,REQUIRES,1,100.0
PROC_104,수능,REQUIRES,1,100.0
PROC_105,수능,REQUIRES,1,100.0
PROC_106,수능,REQUIRES,1,100.0
PROC_107,수능,REQUIRES,1,100.0
PROC_108,수능,REQUIRES,1,100.0
PROC_109,수능,REQUIRES,1,100.0
PROC_110,수능,REQUIRES,1,100.0
PROC_111,수능,REQUIRES,1,100.0
PROC_112,수능,REQUIRES,1,100.0
PROC_113,수능,REQUIRES,1,100.0
PROC_114,수능,REQUIRES,1,100.0
PROC_115,수능,REQUIRES,1,100.0
PROC_116,수능,REQUIRES,1,100.0
