전공분류대,전공분류중,전공분류소,major_id
인문,인문학,종교학,MAJOR_0001
사회,경영경제,경영정보학,MAJOR_0002
사회,사회과학,사회복지학,MAJOR_0003
사회,사회과학,심리학,MAJOR_0004
의학,간호,간호학,MAJOR_0005
자연,생활과학,식품영양학,MAJOR_0006
예체능,음악,실용음악,MAJOR_0007
교육,교육,특수교육학,MAJOR_0008
자연,보건,물리치료,MAJOR_0009
자연,보건,방사선,MAJOR_0010
예체능,무용체육,체육,MAJOR_0011
사회,경영경제,관광학,MAJOR_0012
사회,경영경제,경제학,MAJOR_0013
자연,수학물리천문지구,수학,MAJOR_0014
교육,교육,유아교육학,MAJOR_0015
사회,경영경제,경영학,MAJOR_0016
사회,사회과학,언론방송매체학,MAJOR_0017
예체능,미술,디자인,MAJOR_0018
사회,사회과학,도시지역지리학,MAJOR_0019
자연,화학생명과학환경,생명과학,MAJOR_0020
공학,전기전자컴퓨터,전기공학,MAJOR_0021
공학,전기전자컴퓨터,전산학컴퓨터공학,MAJOR_0022
공학,화공고분자에너지,화학공학,MAJOR_0023
공학,건설,토목공학,MAJOR_0024
의학,의료예과,한의예과,MAJOR_0025
공학,건설,건축학,MAJOR_0026
자연,화학생명과학환경,화학,MAJOR_0027
공학,화공고분자에너지,생명공학,MAJOR_0028
공학,재료,신소재공학,MAJOR_0029
예체능,연극영화,연극,MAJOR_0030
의학,의료예과,의예과,MAJOR_0031
자연,보건,재활치료,MAJOR_0032
자연,보건,응급구조,MAJOR_0033
공학,전기전자컴퓨터,의공학,MAJOR_0034
자연,보건,치위생,MAJOR_0035
사회,사회과학,행정학,MAJOR_0036
사회,경영경제,광고홍보학,MAJOR_0037
교육,교육,중등사회교육,MAJOR_0038
교육,교육,중등언어교육,MAJOR_0039
예체능,응용예술,영상예술,MAJOR_0040
공학,건설,건축공학,MAJOR_0041
교육,교육,중등자연과학교육,MAJOR_0042
자연,보건,임상병리,MAJOR_0043
공학,기계,항공우주공학,MAJOR_0044
교육,교육,중등예술체육교육,MAJOR_0045
예체능,음악,음악학,MAJOR_0046
예체능,음악,피아노,MAJOR_0047
인문,인문학,국제지역학,MAJOR_0048
교육,교육,교육학,MAJOR_0049
공학,건설,도시공학,MAJOR_0050
인문,언어문학,국어국문학,MAJOR_0051
사회,경영경제,무역유통학,MAJOR_0052
인문,인문학,역사고고학,MAJOR_0053
인문,언어문학,영어영문학,MAJOR_0054
인문,언어문학,일본어문학,MAJOR_0055
인문,언어문학,중국어문학,MAJOR_0056
인문,인문학,철학윤리학,MAJOR_0057
사회,경영경제,금융회계세무학,MAJOR_0058
자연,수학물리천문지구,천문기상학,MAJOR_0059
자연,농림수산,작물원예학,MAJOR_0060
공학,전기전자컴퓨터,전자공학,MAJOR_0061
자연,수학물리천문지구,통계학,MAJOR_0062
의학,의료예과,치의예과,MAJOR_0063
공학,건설,조경학,MAJOR_0064
공학,산업안전,산업공학,MAJOR_0065
공학,전기전자컴퓨터,정보통신공학,MAJOR_0066
사회,사회과학,경제학,MAJOR_0067
사회,사회과학,인류학,MAJOR_0068
사회,경영경제,부동산,MAJOR_0069
사회,사회과학,사회학,MAJOR_0070
사회,사회과학,정치외교학,MAJOR_0071
사회,자유전공,자유전공,MAJOR_0072
공학,기계,기계공학,MAJOR_0073
자연,농림수산,축산학,MAJOR_0074
의학,의료예과,수의예과,MAJOR_0075
공학,화공고분자에너지,에너지공학,MAJOR_0076
자연,수학물리천문지구,물리학,MAJOR_0077
자연,농림수산,농림수산환경생태학,MAJOR_0078
자연,자유전공,자유전공,MAJOR_0079
자연,농림수산,농림수산바이오시스템공학,MAJOR_0080
자연,수학물리천문지구,지구과학,MAJOR_0081
자연,화학생명과학환경,환경학,MAJOR_0082
인문,자유전공,자유전공,MAJOR_0083
자연,보건,안경광학,MAJOR_0084
자연,보건,작업치료,MAJOR_0085
공학,산업안전,방재공학,MAJOR_0086
예체능,미술,응용미술,MAJOR_0087
예체능,미술,공예,MAJOR_0088
사회,사회과학,문헌정보학,MAJOR_0089
인문,언어문학,문예창작학,MAJOR_0090
예체능,미술,순수미술,MAJOR_0091
인문,언어문학,기타유럽어문학,MAJOR_0092
사회,법학,법학,MAJOR_0093
예체능,응용예술,애니메이션,MAJOR_0094
사회,사회과학,군사국방안보,MAJOR_0095
자연,생활과학,조리과학,MAJOR_0096
자연,보건,치기공,MAJOR_0097
자연,보건,보건관리,MAJOR_0098
인문,언어문학,러시아어문학,MAJOR_0099
인문,언어문학,독일어문학,MAJOR_0100
인문,언어문학,프랑스어문학,MAJOR_0101
사회,사회과학,아동가족학,MAJOR_0102
자연,생활과학,의류의상학,MAJOR_0103
공학,화공고분자에너지,고분자공학,MAJOR_0104
공학,전기전자컴퓨터,응용소프트웨어공학,MAJOR_0105
자연,농림수산,산림학,MAJOR_0106
공학,화공고분자에너지,섬유공학,MAJOR_0107
자연,농림수산,식품가공학,MAJOR_0108
공학,건설,환경공학,MAJOR_0109
예체능,음악,성악,MAJOR_0110
공학,기계,자동차공학,MAJOR_0111
공학,전기전자컴퓨터,제어계측공학,MAJOR_0112
공학,기계,조선해양공학,MAJOR_0113
자연,수학물리천문지구,해양학,MAJOR_0114
예체능,미술,미술학,MAJOR_0115
예체능,응용예술,사진,MAJOR_0116
인문,언어문학,언어문학,MAJOR_0117
인문,인문학,문화민속미술사학,MAJOR_0118
예체능,연극영화,영화,MAJOR_0119
교육,교육,초등교육,MAJOR_0120
공학,기계,철도공학,MAJOR_0121
예체능,미술,뷰티아트,MAJOR_0122
인문,인문학,자유전공,MAJOR_0123
자연,생활과학,주거학,MAJOR_0124
자연,약학,약학과,MAJOR_0125
자연,약학,한약학,MAJOR_0126
예체능,음악,기악,MAJOR_0127
예체능,음악,작곡,MAJOR_0128
사회,사회과학,국제학,MAJOR_0129
인문,언어문학,스페인어문학,MAJOR_0130
자연,보건,보건학,MAJOR_0131
공학,기계,기전공학,MAJOR_0132
사회,교육,교육학,MAJOR_0133
자연,보건,언어치료,MAJOR_0134
예체능,무용체육,무용,MAJOR_0135
공학,재료,재료공학,MAJOR_0136
자연,수학물리천문지구,기초과학,MAJOR_0137
사회,경영경제,언론방송매체학,MAJOR_0138
공학,전기전자컴퓨터,광학공학,MAJOR_0139
자연,보건,피부미용,MAJOR_0140
인문,언어문학,기타아시아어문학,MAJOR_0141
자연,자연과학,기초과학,MAJOR_0142
인문,인문학,교양인문학,MAJOR_0143
공학,산업안전,안전공학,MAJOR_0144
예체능,연극영화,방송연예,MAJOR_0145
공학,재료,금속공학,MAJOR_0146
인문,생활과학,아동가족학,MAJOR_0147
공학,재료,반도체공학,MAJOR_0148
예체능,응용예술,만화,MAJOR_0149
공학,화학생명과학환경,환경학,MAJOR_0150
자연,농림수산,수산학,MAJOR_0151
인문,생활과학,의류의상학,MAJOR_0152
