univ_code,univ_name,region
A110,강서대,서울
M101,가야대(김해),경남
C104,가천대(글로벌),경기
B101,가천대(메디컬),인천
D105,가톨릭관동대,강원
A102,가톨릭대(성신),서울
C101,가톨릭대(성심),경기
A101,가톨릭대(성의),서울
A103,감리교신학대,서울
C102,강남대,경기
D101,강원대(강릉),강원
D112,강원대(원주),강원
D102,강원대,강원
D115,강원대(도계),강원
D103,강원대(삼척),강원
A104,건국대,서울
G101,건국대(글로컬),충북
F101,건양대,충남
E113,건양대(메디컬),대전
C103,경기대,경기
A105,경기대(서울),서울
M102,경남대,경남
C143,경동대(양주),경기
D114,경동대(원주문막),강원
K101,경북대,대구
L115,경북대(상주),경북
M103,경상국립대,경남
M215,경상국립대(창원),경남
M113,경상국립대(칠암),경남
M114,경상국립대(통영),경남
N101,경성대,부산
L103,경운대,경북
B102,경인교대,인천
L104,경일대,경북
L105,경주대,경북
A106,경희대,서울
C107,경희대(국제),경기
K108,계명대(대명),대구
K103,계명대(성서),대구
A107,고려대,서울
Q101,고려대(세종),세종
N102,고신대,부산
N117,고신대(송도),부산
F103,공주교대,충남
F104,공주대,충남
F106,공주대(예산),충남
F107,공주대(천안),충남
H101,광신대,광주
A108,광운대,서울
H110,광주과학기술원,광주
H102,광주교대,광주
H103,광주대,광주
H104,광주여대,광주
A109,국민대,서울
J101,군산대,전북
G103,극동대,충북
L106,금오공과대,경북
L123,김천대,경북
G104,가톨릭꽃동네대,충북
F109,나사렛대,충남
H105,남부대,광주
F110,남서울대,충남
C137,단국대(죽전),경기
F111,단국대(천안),충남
L107,대구가톨릭대,경북
K106,대구경북과학기술원,대구
K104,대구교대,대구
L108,대구대,경북
L109,대구예술대,경북
L111,대구한의대(삼성),경북
L112,대신대,경북
Q103,대전가톨릭대,세종
E102,대전대,대전
E114,대전신학대,대전
C108,대진대,경기
A112,덕성여대,서울
A113,동국대,서울
L113,동국대(WISE),경북
C142,동국대(바이오메디),경기
A114,동덕여대,서울
N103,동명대,부산
N104,동서대,부산
I103,동신대,전남
N120,동아대(구덕),부산
N119,동아대(부민),부산
N105,동아대(승학),부산
C144,동양대(동두천),경기
L114,동양대(영주),경북
N106,동의대,부산
C110,명지대,경기
A115,명지대(서울),서울
I105,목포가톨릭대,전남
I106,목포대,전남
I107,목포해양대,전남
E104,배재대,대전
E115,배재대(대덕),대전
F113,백석대,충남
N107,부경대,부산
N118,부경대(용당),부산
N108,부산가톨릭대,부산
N109,부산교대,부산
N110,부산대,부산
M104,부산대(밀양),경남
M115,부산대(양산),경남
N111,부산외대,부산
A116,삼육대,서울
A117,상명대,서울
F114,상명대(천안),충남
D106,상지대,강원
A118,서강대,서울
A119,서경대,서울
A123,서울과학기술대,서울
A120,서울교대,서울
A121,서울기독대,서울
A122,서울대,서울
A124,서울시립대,서울
C111,서울신학대,경기
A125,서울여대,서울
A146,서울한영대,서울
G105,서원대,충북
F115,선문대,충남
C113,성결대,경기
A126,성공회대,서울
A127,성균관대,서울
C114,성균관대(자연과학),경기
